name;a;b;date
Santa Eufemia del Arroyo;0;2525;2020-08-01
Sardón de Duero;1901;7366;2020-08-01
Portillo;14;17244;2020-08-01
Langayo;814;4657;2020-08-01
Cuenca de Campos;0;3537;2020-08-01
Villanueva de los Infantes;56;2063;2020-08-01
Fuente-Olmedo;244;2187;2020-08-01
Villanubla;0;16047;2020-08-01
Villabrágima;0;8155;2020-08-01
Zaratán;2597;24375;2020-08-01
San Vicente del Palacio;654;2778;2020-08-01
Salvador de Zapardiel;543;3045;2020-08-01
Castrobol;0;2704;2020-08-01
Villabaruz de Campos;0;1637;2020-08-01
Canalejas de Peñafiel;54;4880;2020-08-01
Ramiro;80;1439;2020-08-01
Cabezón de Valderaduey;0;1696;2020-08-01
Cogeces del Monte;474;6385;2020-08-01
Tudela de Duero;16928;57034;2020-08-01
Serrada;599;9794;2020-08-01
Muriel;134;2911;2020-08-01
Casasola de Arión;0;5706;2020-08-01
Tamariz de Campos;0;4150;2020-08-01
Bobadilla del Campo;225;5382;2020-08-01
Traspinedo;10208;24132;2020-08-01
Valbuena de Duero;1799;5623;2020-08-01
Gallegos de Hornija;0;1930;2020-08-01
Olmos de Esgueva;0;2985;2020-08-01
San Salvador;0;1187;2020-08-01
Villafranca de Duero;175;4310;2020-08-01
Montealegre de Campos;0;3154;2020-08-01
Hornillos de Eresma;979;2765;2020-08-01
Villanueva de la Condesa;0;1080;2020-08-01
Villagarcía de Campos;0;4410;2020-08-01
Marzales;0;1494;2020-08-01
Alcazarén;2003;10164;2020-08-01
San Román de Hornija;0;5305;2020-08-01
Corrales de Duero;89;1597;2020-08-01
Castrejón de Trabancos;1487;5153;2020-08-01
Almenara de Adaja;0;563;2020-08-01
Villanueva de los Caballeros;0;4513;2020-08-01
Valdenebro de los Valles;0;3990;2020-08-01
Fresno el Viejo;707;8130;2020-08-01
Lomoviejo;703;2812;2020-08-01
Torrecilla de la Abadesa;0;2684;2020-08-01
Torrelobatón;0;7166;2020-08-01
Tiedra;0;6765;2020-08-01
Olmos de Peñafiel;225;1381;2020-08-01
Wamba;28;2494;2020-08-01
Aguilar de Campos;0;5374;2020-08-01
Quintanilla de Onésimo;3656;13750;2020-08-01
Matilla de los Caños;0;1404;2020-08-01
Brahojos de Medina;190;3283;2020-08-01
Villavicencio de los Caballeros;0;6119;2020-08-01
Boecillo;14405;69769;2020-08-01
Villalar de los Comuneros;0;5016;2020-08-01
Siete Iglesias de Trabancos;482;7912;2020-08-01
Megeces;104;5630;2020-08-01
Castronuño;139;8488;2020-08-01
Simancas;4128;40602;2020-08-01
Fuente el Sol;0;2145;2020-08-01
Ataquines;1681;6851;2020-08-01
Pesquera de Duero;598;4528;2020-08-01
Olivares de Duero;793;3706;2020-08-01
Villamuriel de Campos;0;2525;2020-08-01
Pedrosa del Rey;0;4626;2020-08-01
Palazuelo de Vedija;0;4842;2020-08-01
Roturas;0;1527;2020-08-01
Cigales;334;20430;2020-08-01
Bustillo de Chaves;0;2603;2020-08-01
Llano de Olmedo;0;1791;2020-08-01
Quintanilla de Arriba;407;2225;2020-08-01
Cabezón de Pisuerga;6977;24394;2020-08-01
Melgar de Arriba;0;3849;2020-06-01
Pollos;718;7428;2020-06-01
Valverde de Campos;0;1987;2020-06-01
La Parrilla;178;6700;2020-06-01
San Martín de Valvení;662;2553;2020-06-01
Geria;0;3676;2020-06-01
Valdearcos de la Vega;99;1013;2020-06-01
Castrillo de Duero;520;4077;2020-06-01
Viloria;235;4919;2020-06-01
Camporredondo;283;3294;2020-06-01
Viana de Cega;866;26292;2020-06-01
Morales de Campos;0;2451;2020-06-01
Urones de Castroponce;0;2882;2020-06-01
Villafrechós;0;6620;2020-06-01
San Pablo de la Moraleja;181;2539;2020-06-01
La Pedraja de Portillo;1969;10957;2020-06-01
Villalán de Campos;0;1389;2020-06-01
Mucientes;16;7066;2020-06-01
Fombellida;712;3680;2020-06-01
Herrín de Campos;0;2868;2020-06-01
Corcos;2854;5779;2020-06-01
Tordesillas;29438;72347;2020-06-01
Nava del Rey;1067;14579;2020-06-01
Torrescárcela;69;1874;2020-06-01
Villanueva de Duero;6956;22445;2020-06-01
Canillas de Esgueva;676;2781;2020-06-01
Valladolid;36252;434994;2020-06-01
Villavellid;0;1856;2020-06-01
Barcial de la Loma;0;3307;2020-06-01
San Pelayo;0;1198;2020-06-01
Melgar de Abajo;0;3539;2020-06-01
Laguna de Duero;6240;83257;2020-06-01
Rueda;3456;17135;2020-06-01
Villabáñez;969;10713;2020-06-01
Villacarralón;0;2314;2020-06-01
Villafuerte;415;2317;2020-06-01
Olmedo;3087;20065;2020-06-01
Cabreros del Monte;0;2699;2020-06-01
Barruelo del Valle;0;1881;2020-06-01
Valdunquillo;0;4504;2020-06-01
Curiel de Duero;892;3060;2020-06-01
Cogeces de Íscar;495;2678;2020-06-01
Castronuevo de Esgueva;826;6184;2020-06-01
Amusquillo;670;2571;2020-06-01
Quintanilla de Trigueros;0;1550;2020-06-01
Adalia;0;2675;2020-06-01
Velilla;0;2119;2020-06-01
Villardefrades;0;2962;2020-06-01
Bocigas;34;1718;2020-06-01
Pedrajas de San Esteban;745;24696;2020-06-01
La Mudarra;0;2396;2020-06-01
Pozuelo de la Orden;0;2335;2020-06-01
Valdestillas;1342;13621;2020-06-01
Villagómez la Nueva;0;3923;2020-06-01
Carpio;887;10362;2020-06-01
Manzanillo;36;648;2020-06-01
Nueva Villa de las Torres;135;3705;2020-06-01
Villalbarba;0;3397;2020-06-01
Arroyo de la Encomienda;2695;67621;2020-06-01
Torre de Peñafiel;388;2716;2020-06-01
Vega de Ruiponce;0;3695;2020-06-01
Trigueros del Valle;1190;4525;2020-06-01
Ceinos de Campos;0;4872;2020-06-01
Quintanilla del Molar;0;1398;2020-06-01
Encinas de Esgueva;1363;4833;2020-06-01
Villalba de la Loma;0;1981;2020-06-01
Saelices de Mayorga;0;3405;2020-06-01
Villafrades de Campos;0;4059;2020-06-01
Robladillo;0;1128;2020-06-01
Peñafiel;5068;28037;2020-06-01
Villacid de Campos;0;2871;2020-06-01
Bocos de Duero;369;663;2020-06-01
Castromembibre;0;2379;2020-06-01
San Pedro de Latarce;0;7107;2020-06-01
Berrueces;0;3099;2020-06-01
Fuensaldaña;0;26033;2020-06-01
Fompedraza;523;2364;2020-06-01
Ventosa de la Cuesta;586;2330;2020-06-01
Moraleja de las Panaderas;564;1321;2020-06-01
Íscar;2643;32892;2020-06-01
Moral de la Reina;0;4147;2020-06-01
Berceruelo;0;1476;2020-06-01
Santibáñez de Valcorba;377;3821;2020-06-01
Santovenia de Pisuerga;4935;17195;2020-06-01
Puras;0;686;2020-06-01
Torrecilla de la Torre;0;725;2020-06-01
San Miguel del Arroyo;1898;12564;2020-06-01
Mota del Marqués;0;6035;2020-06-01
Pozaldez;431;7342;2020-06-01
Roales de Campos;0;3669;2020-06-01
Villavaquerín;106;1964;2020-06-01
Rubí de Bracamonte;12;3250;2020-06-01
Castroponce;0;3677;2020-06-01
Medina de Rioseco;0;23021;2020-06-01
Valoria la Buena;1236;6281;2020-06-01
Aldea de San Miguel;228;4421;2020-06-01
Vega de Valdetronco;0;1956;2020-06-01
Piñel de Abajo;169;2054;2020-06-01
Becilla de Valderaduey;0;5894;2020-06-01
Tordehumos;0;6700;2020-06-01
Cervillego de la Cruz;636;3276;2020-06-01
Fontihoyuelo;0;1700;2020-06-01
Villaco;538;1687;2020-06-01
Piñel de Arriba;255;2587;2020-06-01
Villán de Tordesillas;0;2622;2020-06-01
Cubillas de Santa Marta;0;1970;2020-06-01
Bercero;0;2670;2020-06-01
Renedo de Esgueva;2437;24664;2020-06-01
Castrodeza;0;7616;2020-06-01
San Llorente;310;2036;2020-06-01
Pozal de Gallinas;2677;9065;2020-06-01
Villalón de Campos;0;15558;2020-06-01
Villalba de los Alcores;0;4958;2020-06-01
Aguasal;228;1227;2020-06-01
La Seca;945;10926;2020-06-01
Urueña;0;3129;2020-06-01
Castroverde de Cerrato;904;2512;2020-06-01
Bolaños de Campos;0;4947;2020-06-01
Santervás de Campos;0;5770;2020-06-01
