name;a;b;date
Centenera de Andaluz;0;1303;2020-08-01
Villar del Ala;1829;1829;2020-08-01
Talveila;55;3677;2020-08-01
Valderrodilla;635;2091;2020-08-01
Recuerda;432;2335;2020-08-01
San Leonardo de Yagüe;0;14349;2020-08-01
Suellacabras;2156;2379;2020-08-01
Villar del Río;5082;5619;2020-08-01
Buitrago;106;1666;2020-08-01
Momblona;1145;1145;2020-08-01
Montejo de Tiermes;6690;7620;2020-08-01
Nolay;1085;1085;2020-08-01
Borjabad;706;1370;2020-08-01
Alpanseque;2261;2261;2020-08-01
Valdegeña;872;872;2020-08-01
Gormaz;0;881;2020-08-01
Reznos;732;732;2020-08-01
Cigudosa;863;863;2020-08-01
Valdemaluque;4225;6939;2020-08-01
Cabrejas del Campo;1991;1991;2020-08-01
Villar del Campo;733;733;2020-08-01
Duruelo de la Sierra;510;9048;2020-08-01
Quintana Redonda;2841;8031;2020-08-01
Maján;1534;1534;2020-08-01
Torrubia de Soria;288;896;2020-08-01
Rebollar;1241;1241;2020-08-01
La Riba de Escalote;1016;1016;2020-08-01
Berlanga de Duero;811;14755;2020-08-01
Fabero;2132;33924;2020-08-01
Turcia;3040;18431;2020-08-01
Villadangos del Páramo;757;40835;2020-08-01
Algadefe;5657;6236;2020-08-01
Santa Cristina de Valmadrigal;0;7123;2020-08-01
Villarejo de Órbigo;11545;31919;2020-08-01
Puente de Domingo Flórez;1527;14391;2020-08-01
Fuentes de Carbajal;2054;4464;2020-08-01
Castrocalbón;14542;14798;2020-08-01
Palacios del Sil;9268;17551;2020-08-01
Villademor de la Vega;8322;8322;2020-08-01
Bembibre;15638;53026;2020-08-01
Corbillos de los Oteros;0;5628;2020-08-01
Balboa;5670;6741;2020-08-01
Pajares de los Oteros;0;10311;2020-08-01
San Andrés del Rabanedo;1558;77662;2020-08-01
Escobar de Campos;1784;1784;2020-08-01
Valdepolo;13317;24917;2020-08-01
Prado de la Guzpeña;4246;4246;2020-08-01
Cubillos del Sil;16044;34620;2020-08-01
Pobladura de Pelayo García;796;7540;2020-08-01
Candín;483;11795;2020-08-01
Bercianos del Páramo;9074;12093;2020-08-01
Boñar;12635;21290;2020-08-01
Boca de Huérgano;9299;12147;2020-08-01
Cubillas de los Oteros;0;4657;2020-08-01
Urdiales del Páramo;14733;15478;2020-08-01
Noceda del Bierzo;5575;14573;2020-08-01
Matallana de Torío;15246;16954;2020-08-01
Cebanico;5121;5121;2020-08-01
Chozas de Abajo;793;39723;2020-08-01
San Emiliano;19100;20440;2020-08-01
Villasabariego;553;19411;2020-08-01
Santa Marina del Rey;11147;23282;2020-08-01
Oencia;389;10492;2020-08-01
Berlanga del Bierzo;2186;9130;2020-08-01
Corullón;1840;16829;2020-08-01
Toreno;24998;34869;2020-08-01
Villazala;7847;12815;2020-08-01
Villamandos;6902;6902;2020-08-01
Valderrey;12938;14146;2020-08-01
Benuza;899;14775;2020-08-01
Santa María de la Isla;6923;6923;2020-08-01
Sahagún;11312;25041;2020-08-01
Cistierna;25084;32970;2020-08-01
La Bañeza;5967;41894;2020-08-01
Valdevimbre;0;18407;2020-08-01
La Pola de Gordón;18730;40979;2020-08-01
La Vecilla;5663;5663;2020-08-01
Santiago Millas;9331;12553;2020-08-01
Mansilla Mayor;220;7145;2020-08-01
Campazas;3965;3965;2020-08-01
Sobrado;0;8101;2020-08-01
Valverde-Enrique;3073;5792;2020-08-01
Calzada del Coto;2106;6242;2020-08-01
Riego de la Vega;8498;18725;2020-08-01
Gordoncillo;6359;6359;2020-08-01
Regueras de Arriba;246;4275;2020-08-01
Páramo del Sil;3672;25236;2020-08-01
Brazuelo;12372;13880;2020-08-01
Cimanes de la Vega;7941;7941;2020-08-01
Roperuelos del Páramo;2160;11992;2020-08-01
Vega de Valcarce;5627;11839;2020-08-01
Villaturiel;578;29848;2020-08-01
Joarilla de las Matas;4557;4862;2020-08-01
Destriana;5421;8868;2020-08-01
